dataset,model,technique,real,pred,perc_completeness
letter_18,LogisticRegression,impute_linear_regression,-0.1694636898895172,-0.002861034834426273,0.0980249999999999
letter_19,LogisticRegression,impute_linear_regression,-0.11238453356889133,-0.0037991251683205367,0.0499375
letter_20,LogisticRegression,impute_linear_regression,-0.07709483685266139,-0.08456620623870238,0.4984
letter_21,LogisticRegression,impute_linear_regression,-0.04213413180389147,-0.0647708211478339,0.4461125
letter_22,LogisticRegression,impute_linear_regression,-0.026761140494927282,-0.07597070150518238,0.4066125
letter_23,LogisticRegression,impute_linear_regression,-0.03707040690855834,-0.016953141035084468,0.3522375
letter_24,LogisticRegression,impute_linear_regression,-0.024403205059900568,-0.023688497266198753,0.299725
letter_25,LogisticRegression,impute_linear_regression,-0.040160133408711385,-0.033860044297975685,0.2440875
letter_26,LogisticRegression,impute_linear_regression,0.002549381526809502,-0.05184862076477072,0.2010875
letter_27,LogisticRegression,impute_linear_regression,0.011378869564148797,-0.05842442864814009,0.1530875
letter_28,LogisticRegression,impute_linear_regression,0.021841388877419154,-0.06453201309492343,0.097475
letter_29,LogisticRegression,impute_linear_regression,0.004600913752302649,-0.07303166642008499,0.0484374999999999
letter_0,LogisticRegression,impute_random_forest,-0.27358168413245765,-0.06650309915442017,0.4983124999999999
letter_1,LogisticRegression,impute_random_forest,-0.3093932268764421,-0.06872364814065582,0.44755
letter_2,LogisticRegression,impute_random_forest,-0.30648272898517903,-0.05877751686259585,0.4009874999999999
letter_3,LogisticRegression,impute_random_forest,-0.2829743225844077,-0.06879356725149284,0.3568625
letter_4,LogisticRegression,impute_random_forest,-0.3353148161060042,-0.06833940125523659,0.3018375
letter_5,LogisticRegression,impute_random_forest,-0.29971756160168184,-0.06075649564964585,0.247525
letter_6,LogisticRegression,impute_random_forest,-0.3221130130107339,-0.014948988037436,0.2007125
letter_7,LogisticRegression,impute_random_forest,-0.280174979366983,-0.015974160714766553,0.14715
letter_8,LogisticRegression,impute_random_forest,-0.18776108533013192,-0.0046117698148470995,0.0986375
