name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,3,STD,0.0043859649122807
acustic,_Zero-crossingrate_Mean,30,3,STD,0.0335616179197094
acustic,_Fluctuation_Mean,30,3,STD,0.0022321428571428
acustic,_HarmonicChangeDetectionFunction_Std,40,3,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,3,STD,0.0
acustic,_Zero-crossingrate_Mean,40,3,STD,0.0
acustic,_Fluctuation_Mean,40,3,STD,0.0
acustic,_HarmonicChangeDetectionFunction_Std,50,3,STD,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,3,STD,0.0
acustic,_Zero-crossingrate_Mean,50,3,STD,0.0
acustic,_Fluctuation_Mean,50,3,STD,0.0
